Best_dup0,EW_dup0,EG_dup0,ONS_dup0,OLMAR_1_dup0,OLMAR_2_dup0
1.0,1.0,1.0,1.0,1.0,1.0
1.07895,1.0074825,1.0074825,1.0074825,1.0074825,1.0074825
1.02439,0.9994941666666667,0.9994982632627113,0.9981640642973524,1.0,1.0
1.02866,0.9996558333333333,0.9996663757966991,0.9944189501724594,0.9230799999999999,0.9230799999999999
1.08333,1.0061802777777777,1.0061668549761291,1.0155219737261363,1.0833300000000001,1.0833300000000001
1.04878,1.0016116666666666,1.0016212070541868,0.9955213583612662,0.9536737703043676,1.01037
1.03084,0.9943305555555556,0.9943406957016622,0.9847447073039998,0.9166699999999998,0.9166699999999999
1.09091,0.9987530555555556,0.9987236268848285,1.016716664233491,1.0909100000000003,1.0909100000000003
1.04938,1.0051952777777777,1.0051911112187029,1.0062685629538475,1.01471,1.0150203745960313
1.10448,1.0027066666666666,1.0027106459090818,0.9987869022633349,0.98462,0.98462
1.10811,1.0044780555555555,1.0044948320413996,1.002310804634785,1.00521,1.00521
1.06494,0.9974497222222222,0.9974472793055065,0.9935025563920872,0.99265,0.99265
1.04348,1.0019752777777777,1.0019402141017673,1.0091577115973533,1.04348,1.04348
1.01437,0.9964130555555556,0.9964044298335402,0.9997445864619738,0.99383,1.0
1.01366,0.9972213888888889,0.9972182738489197,0.9967676548727185,0.97297,1.0
1.02513,0.9965955555555556,0.9966091057517329,0.9924386673182807,1.0,0.98462
1.02451,0.9910283333333333,0.9910475355588237,0.9751643098680529,0.9444399999999998,1.0
1.1,1.0111155555555555,1.011081637014999,1.0315262366269116,1.1000000000000003,1.1000000000000003
1.03056,1.0039283333333333,1.0039263360803476,1.004010281749129,1.0,1.0
1.09091,1.0001919444444445,1.0001608720389377,1.0145442378853047,1.0406788994736893,1.00473
1.0625,1.0038194444444444,1.0038369021103977,0.9953975379529345,0.94886,0.9488599999999999
1.02941,0.9942233333333333,0.9942162284872805,0.9980977268437717,1.01796,1.01796
1.02353,0.9935852777777777,0.9935681120407406,1.0007305065984942,1.02353,1.02353
1.03086,0.9994191666666666,0.9994389308512122,0.9906814865268891,1.0132,1.0132
1.04545,0.9953805555555556,0.995376160070774,1.0005783007716416,1.04545,1.0454500000000002
1.04348,1.0006875,1.0006777203722934,1.0047149570045784,1.00774,1.00774
1.02256,0.9951158333333333,0.9951326429387757,0.9891079414964232,1.01235,1.01235
1.04348,0.9858388888888889,0.9858068284092192,0.9965617507781075,0.96774,0.96774
1.01944,0.9944063888888889,0.9944134954420957,0.9888448391786222,1.0,1.0
1.06579,1.0099069444444444,1.009912207568971,1.0043326334758658,1.0,1.0657900000000002
1.04545,1.0041833333333334,1.0041825688330581,1.0042744584789811,1.04545,1.04545
1.01747,0.9996161111111111,0.9996142107483564,0.9987474786216819,1.00633,1.00633
1.04545,1.0077172222222222,1.0077044911494137,1.0124500558951604,1.0454500000000002,1.0454500000000002
1.03165,1.0016697222222222,1.0016642808237994,1.0039000707049823,1.03165,1.03165
1.04545,1.0049897222222222,1.0049875619611197,1.0069430224534313,1.04545,1.0454500000000002
1.04115,1.0008302777777778,1.0008341131500422,0.9985932127072233,1.00238,1.00238
1.03125,1.0012391666666667,1.0012560897929834,0.9892874462491764,0.9090899999999998,0.9090899999999997
1.2,1.0006122222222222,1.000542274644758,1.0388236660234826,1.2000000000000002,1.2000000000000002
1.02181,1.0002880555555556,1.0003068206059418,0.9880526057271252,0.98276,0.98276
1.04545,0.9965994444444445,0.9965926161740082,1.000260332176805,1.01754,1.01754
1.01961,0.9974283333333334,0.9974185190217606,0.9982388058127188,0.98726,0.98726
1.02,1.0057441666666667,1.0057542080104753,0.9998980380638322,1.01935,1.0077313752359285
1.0303,0.9980244444444445,0.9980286959373698,0.998541158320795,1.0,1.0
1.09091,1.0081469444444444,1.0081303733628628,1.0195307052851506,0.99758,0.99758
1.01724,0.9980463888888889,0.9980519323485588,0.9925300559735897,0.9802,0.9938619958037435
1.021,1.0023372222222222,1.0023500347451768,0.9923165910637379,1.00758,1.00758
1.09091,1.0069561111111112,1.0069220839011108,1.0225918857258012,1.00649,1.0909100000000003
1.01613,0.9966419444444444,0.9966324495445704,0.9986476229239903,1.0,1.0
1.0129,0.9994138888888889,0.9994094884527586,1.0012382301654625,0.99402,0.99402
1.02564,1.0015975,1.0016151916227758,0.989078176241822,1.0,0.9905737263619021
1.06061,1.0009516666666667,1.000966022957229,0.9947506367945216,1.0,1.0
1.04464,1.0054069444444445,1.0054133658474007,0.9999249466520856,1.04464,1.04464
1.1,1.0059183333333332,1.0058843981909682,1.0249567453198543,1.1000000000000003,1.1000000000000003
1.03059,1.0057533333333333,1.0057496023344752,1.0054235279905537,1.02564,1.02564
1.03265,1.0062208333333333,1.00623752184635,0.9980926772712384,1.03265,0.98026
1.02685,0.9982719444444444,0.9982693615043019,0.9988924357466786,1.02685,1.02685
1.02439,0.9962688888888889,0.9962779773768231,0.9885957060534932,1.00546,0.9523799999999999
1.03896,1.006741111111111,1.0067348871407036,1.0113756580532727,1.0,1.0
1.1,1.0108052777777778,1.0107627736949043,1.0381308636873483,1.1000000000000003,1.1000000000000003
1.02032,0.9971747222222223,0.9971909960484634,0.985844714845239,0.97739,1.0084348125606248
1.04231,0.9970988888888889,0.997114677451696,0.9911014436523178,0.9866235882445687,1.0
1.1,0.9984788888888889,0.9984584184723911,1.0131781041642671,1.00783,1.1000000000000003
1.07692,1.0093541666666668,1.0093288738570436,1.0179192465507654,1.0769200000000003,1.0769200000000003
