,Best,EW,EG,ONS,OLMAR_1,OLMAR_2
NYSE,0.005990000000000011,0.3659587249474562,0.3673734316195263,0.31249743048299056,0.46292871727376855,0.4731582578756142
ff49_csv,0.06940000000000004,0.49312670651880275,0.4909624015626345,0.7043745655968817,0.906317115680052,0.9269380604423956
ff100_csv,0.17251216130499997,0.5630512687239748,0.5595880967849516,1.0,0.7973340068190229,0.7384025631013467
