Best_dup0,EW_dup0,EG_dup0,ONS_dup0,OLMAR_1_dup0,OLMAR_2_dup0
15213087917762.97,1.5840879208674672,1.581179215902787,2.8982763279743975,186.62818349455898,277.2427470184193
15584135132077.209,1.58005113681579,1.577073228999296,2.875908260221764,181.962478907195,270.3116783429588
15744807565288.926,1.5615601494841096,1.5585395018079087,2.8573237971775067,183.64745146187562,272.81476448441464
15944294277141.137,1.5512577563978882,1.5482202430655567,2.8365040415081695,178.81385053939906,265.63427988318483
16363150887801.635,1.549195876296676,1.5461067034904648,2.8491655057355665,173.9805121593191,258.45418529794233
16817719219464.764,1.5510432923791597,1.548003207026036,2.8392233384832593,178.81369078710495,265.63404256551917
17123465354874.635,1.5488171144092366,1.5457005614086812,2.844315307348568,178.81369078710495,265.63404256551917
17609258066992.43,1.5493940487843543,1.5463613777181107,2.840317315786993,183.64702484908042,272.8141307360652
19988973202165.79,1.5548638401637986,1.5521984827894688,2.847428179657166,188.35573456621086,274.80567389043847
20473106133122.242,1.5631802021755636,1.5604536117598051,2.859805570051175,182.8161924126186,266.72363902132065
21713981095850.78,1.578734713620656,1.5760479519456017,2.865070540907622,193.89668183474743,282.8897587824029
23699941806877.297,1.5830179086061928,1.5803623584251913,2.8764694106309325,192.75060906763326,278.8472641294024
24141471722739.418,1.5737436222977448,1.570591818571116,2.8573270815116985,190.93297082412548,282.8877609866374
24812121807197.117,1.576412429190558,1.573328195654081,2.845037848022384,196.23708875361967,290.74638298684613
25667643767109.277,1.5797250847535655,1.5767010367100667,2.8600712493459435,201.54137726263002,298.6052577189806
27177414573490.65,1.5867276550042593,1.5837332971866072,2.8500637320715203,209.09917890997866,316.1692189780111
28264511156430.273,1.5841060283120467,1.5809687130926815,2.83927368254154,205.0782016995398,310.0892848970639
29049699276355.902,1.5853002682456132,1.582263687576068,2.8505394006024103,207.0879680761953,318.70356523150434
30758402587791.16,1.5922883599002768,1.5891362391836883,2.8634437253527683,219.2688823584371,337.44970893842145
31687921513994.207,1.5936962081918218,1.5904587592383188,2.8573369751336473,213.17759280651973,328.07535602411207
32722532151426.12,1.5990784744415985,1.5958184074947366,2.8623517540148353,213.17759280651973,328.07535602411207
34592297638558.61,1.6113056503210301,1.6081664570740308,2.893008203309819,225.35856045948427,346.8215818673298
36371379506109.68,1.6129048711789737,1.6095629562636493,2.8973352872316345,225.35856045948427,346.8215818673298
38103384598190.625,1.616309892573685,1.6129272770687308,2.9031489123197134,225.35856045948427,346.8215818673298
38680650874853.21,1.6131527005835242,1.6098110016451797,2.8949484122766815,225.35856045948427,346.8215818673298
40227876909847.34,1.6173209079226432,1.6141077389608838,2.9160633866536445,233.60443018669676,356.7302744612794
41091569427101.77,1.6142340712675498,1.6110287283715674,2.889447023381621,234.89859872993108,358.70656018179494
42563058528286.28,1.6151573234766443,1.6119794677911519,2.883734781175437,234.89859872993108,358.7934505212369
43959552478599.35,1.6125089141209548,1.6093538078131193,2.865978645910389,238.32811827138806,364.0318348988469
46545253355390.57,1.6178763292092633,1.6146654347839982,2.841726324355612,252.34657818811112,385.4441874275971
47852709522143.49,1.6235748491688113,1.6203531896827768,2.863589593132231,257.8325927979207,393.82374406227314
54319524686965.97,1.637899289268617,1.6348595306300586,2.868584109590565,259.5760316205272,393.82374406227314
55612872569762.63,1.6295514625576448,1.6265698162149302,2.8060699541072918,259.5760316205272,393.82374406227314
57508715395665.836,1.6313905924444148,1.6283564939376598,2.823019805897077,268.42497853847095,407.249195497356
59905103566203.234,1.6435471713424463,1.640444931782294,2.851651619412362,277.7876417898928,421.4540474363038
